issue,date,front1,front2,front3,front4,front5,back1,back2
2007001,2007-05-30,22,24,29,31,35,04,11
2007002,2007-06-02,15,22,31,34,35,05,12
2007003,2007-06-04,03,04,18,23,32,01,06
2007004,2007-06-06,06,10,16,17,25,02,04
2007005,2007-06-09,01,09,19,20,30,02,11
2007006,2007-06-11,01,16,20,23,28,03,06
2007007,2007-06-13,14,16,25,26,35,04,09
2007008,2007-06-16,02,08,11,21,23,04,07
2007009,2007-06-18,01,03,09,19,34,09,12
2007010,2007-06-20,06,08,18,29,34,09,11
2007011,2007-06-23,29,32,33,34,35,09,10
2007012,2007-06-25,03,12,15,29,34,07,11
2007013,2007-06-27,12,17,27,29,34,06,09
2007014,2007-06-30,01,02,07,29,32,06,07
2007015,2007-07-02,02,08,12,13,17,11,12
2007016,2007-07-04,01,14,19,24,31,03,12
2007017,2007-07-07,13,14,29,32,34,03,12
2007018,2007-07-09,03,04,16,23,28,06,09
2007019,2007-07-11,03,06,17,22,23,04,06
2007020,2007-07-14,02,06,11,12,18,05,12
2007021,2007-07-16,02,04,24,29,33,01,02
2007022,2007-07-18,08,10,12,23,25,03,10
2007023,2007-07-21,08,10,23,32,34,08,10
2007024,2007-07-23,06,16,20,25,31,04,09
2007025,2007-07-25,22,24,26,27,34,02,10
2007026,2007-07-28,05,09,13,33,35,01,08
2007027,2007-07-30,02,03,10,19,27,06,10
2007028,2007-08-01,20,26,30,34,35,03,10
2007029,2007-08-04,15,22,25,29,35,09,11
2007030,2007-08-06,11,14,27,33,35,02,07
2007031,2007-08-08,03,21,27,31,32,06,08
2007032,2007-08-11,01,13,21,23,32,04,11
2007033,2007-08-13,01,05,08,14,22,03,12
2007034,2007-08-15,06,08,11,13,22,02,11
2007035,2007-08-18,07,11,16,31,32,01,12
2007036,2007-08-20,15,18,21,27,34,01,02
2007037,2007-08-22,01,06,07,17,31,11,12
2007038,2007-08-25,06,21,25,27,32,08,09
2007039,2007-08-27,10,11,20,21,35,07,11
2007040,2007-08-29,05,21,25,28,35,01,04
2007041,2007-09-01,03,16,17,22,35,01,08
2007042,2007-09-03,07,10,22,31,35,05,06
2007043,2007-09-05,04,09,22,24,31,02,06
2007044,2007-09-08,04,05,07,12,26,01,10
2007045,2007-09-10,09,16,20,26,35,11,12
2007046,2007-09-12,04,16,18,23,30,01,10
2007047,2007-09-15,01,06,15,19,35,02,09
2007048,2007-09-17,08,25,26,29,35,06,08
2007049,2007-09-19,09,10,15,17,32,04,06
2007050,2007-09-22,13,21,22,30,35,01,11
2007051,2007-09-24,03,07,24,28,35,08,11
2007052,2007-09-26,01,14,29,32,33,05,10
2007053,2007-09-29,11,16,19,21,25,01,10
2007054,2007-10-01,04,10,19,29,34,03,06
2007055,2007-10-03,10,16,24,31,33,07,10
2007056,2007-10-06,04,11,17,20,21,05,09
2007057,2007-10-08,14,16,30,32,35,06,07
2007058,2007-10-10,08,21,25,28,33,02,06
2007059,2007-10-13,04,15,23,31,33,03,09
2007060,2007-10-15,12,13,29,30,31,04,07
2007061,2007-10-17,02,10,19,28,29,02,09
2007062,2007-10-20,01,04,10,14,29,11,12
2007063,2007-10-22,10,31,33,34,35,07,12
2007064,2007-10-24,02,16,32,33,35,05,10
2007065,2007-10-27,19,20,24,29,31,09,10
2007066,2007-10-29,04,07,08,19,24,07,12
2007067,2007-10-31,11,18,25,30,31,04,09
2007068,2007-11-03,04,09,13,14,33,06,10
2007069,2007-11-05,02,13,16,21,35,01,05
2007070,2007-11-07,07,26,29,30,35,03,04
2007071,2007-11-10,10,22,32,33,35,01,07
2007072,2007-11-12,21,24,26,27,33,01,05
2007073,2007-11-14,04,05,09,12,23,02,11
2007074,2007-11-17,16,17,23,24,31,05,10
2007075,2007-11-19,05,11,20,30,32,07,11
2007076,2007-11-21,02,09,12,15,31,09,10
2007077,2007-11-24,04,06,12,13,24,01,04
2007078,2007-11-26,09,12,14,22,23,01,02
2007079,2007-11-28,06,09,25,26,31,02,08
2007080,2007-12-01,01,15,20,25,27,05,10
2007081,2007-12-03,06,18,20,22,35,04,09
2007082,2007-12-05,03,05,14,33,34,07,08
2007083,2007-12-08,01,05,20,21,24,03,04
2007084,2007-12-10,05,11,18,29,34,10,11
2007085,2007-12-12,17,24,28,29,33,02,05
